Phrases,Emotions
phobia,Not_Prank
treatment,Not_Prank
breathless,Not_Prank
harm,Not_Prank
fierce,Not_Prank
anxious,Not_Prank
nerve,Not_Prank
sudden,Not_Prank
feverish,Not_Prank
acute,Not_Prank
ache,Not_Prank
chronic,Not_Prank
crippling,Not_Prank
dull,Not_Prank
heavy,Not_Prank
itchy,Not_Prank
irritated,Not_Prank
raw,Not_Prank
sore,Not_Prank
severe,Not_Prank
sharp,Not_Prank
stiff,Not_Prank
stinging,Not_Prank
tender ,Not_Prank
tight,Not_Prank
unedurable,Not_Prank
violent,Not_Prank
where it hurts,Not_Prank
extreme,Not_Prank
illness,Not_Prank
serious,Not_Prank
cut ,Not_Prank
wound,Not_Prank
red,Not_Prank
pin,Not_Prank
needle,Not_Prank
sting,Not_Prank
period,Not_Prank
strain,Not_Prank
uncomfortable,Not_Prank
distress,Not_Prank
numb,Not_Prank
cold,Not_Prank
insensitive,Not_Prank
insensible,Not_Prank
painless,Not_Prank
disease,Not_Prank
concious,Not_Prank
unconcious,Not_Prank
dilated,Not_Prank
unpleasant,Not_Prank
physical,Not_Prank
emotional,Not_Prank
disturbed,Not_Prank
mental,Not_Prank
weak,Not_Prank
unstable,Not_Prank
daze,Not_Prank
ease,Not_Prank
relieve,Not_Prank
strong,Not_Prank
prick,Not_Prank
spasm,Not_Prank
punishment,Not_Prank
prick,Not_Prank
hole,Not_Prank
prickle,Not_Prank
pang,Not_Prank
blood,Not_Prank
discomfort,Not_Prank
scratch,Not_Prank
skin,Not_Prank
torment,Not_Prank
vomit,Not_Prank
damage,Not_Prank
fatal,Not_Prank
disorder,Not_Prank
twinge,Not_Prank
sense,Not_Prank
labor,Not_Prank
injured,Not_Prank
infected,Not_Prank
hurt,Not_Prank
throbbed,Not_Prank
suffering,Not_Prank
misery,Not_Prank
agony,Not_Prank
bleeding,Not_Prank
cramping,Not_Prank
sorrow,Not_Prank
misery,Not_Prank
heartattack,Not_Prank
shooting,Not_Prank
tearing,Not_Prank
stabbing,Not_Prank
burning,Not_Prank
trouble,Not_Prank
helpless,Not_Prank
pain,Not_Prank
help,Not_Prank
dreadful ,Not_Prank
insufferable ,Not_Prank
intolerable ,Not_Prank
accident,Not_Prank
save,Not_Prank
tragedy,Not_Prank
ouch,Not_Prank
ow,Not_Prank
piercing ,Not_Prank
unwell,Not_Prank
torture,Not_Prank
fractured,Not_Prank
mishappening,Not_Prank
casuality,Not_Prank
crash,Not_Prank
hit,Not_Prank
bang,Not_Prank
dead,Not_Prank
fighting,Not_Prank
tortured ,Not_Prank
trouble ,Not_Prank
kill,Not_Prank
hospitalisation,Not_Prank
urgent,Not_Prank
stabbed,Not_Prank
bad,Not_Prank
suicide,Not_Prank
violence,Not_Prank
medication,Not_Prank
shot,Not_Prank
kidnap,Not_Prank
ambulance,Not_Prank
bitter,Not_Prank
scar,Not_Prank
awful,Not_Prank
terrible,Not_Prank
hospital,Not_Prank
pressure,Not_Prank
blur,Not_Prank
extreme,abusive
furious,abusive
steaming,abusive
murderous,abusive
damn,abusive
bloody,abusive
dammit,abusive
goddammit,abusive
fed up,abusive
displeased,abusive
outrage,abusive
temper,abusive
impatient,abusive
snap,abusive
blow up,abusive
vent,abusive
fume,abusive
get lost,abusive
you will be sorry,abusive
shut up,abusive
fuck off,abusive
what a pain,abusive
quiet,abusive
pissed off,abusive
bollocks,abusive
nonsense,abusive
trash,abusive
garbage,abusive
bimbo,abusive
asshole,abusive
cunt,abusive
bitch,abusive
pussy,abusive
witch,abusive
chick,abusive
ball,abusive
prick,abusive
suck,abusive
hell,abusive
holyshit,abusive
crap,abusive
slut,abusive
whore,abusive
fag,abusive
badass,abusive
arse,abusive
beat,abusive
bang,abusive
lick,abusive
fart,abusive
slap,abusive
punch,abusive
slam,abusive
nut,abusive
boner,abusive
bone,abusive
clit,abusive
cum,abusive
piss,abusive
dork,abusive
douche,abusive
nasty,abusive
eat,abusive
butt,abusive
twat,abusive
jack,abusive
meat,abusive
nigga,abusive
pimp,abusive
arse,abusive
pig,abusive
rascal,abusive
screw,abusive
scum,abusive
tit,abusive
tough,abusive
hyper,abusive
hell,abusive
die,abusive
beware,abusive
Is that what you call it,abusive
provoked,abusive
over my dead body,abusive
i will show you,abusive
raging,abusive
corrupt,abusive
grudge,abusive
kill you,abusive
jealous,abusive
come fast,abusive
burn,abusive
bad mood,abusive
tick off,abusive
protest,abusive
rub the wrong way,abusive
underestimate,abusive
peeved,abusive
revenge,abusive
warpath,abusive
frustrated,abusive
tear into,abusive
against law,abusive
scold,abusive
tell off,abusive
rage,abusive
let fly,abusive
wrath,abusive
chew out,abusive
done wrong,abusive
offensive,abusive
rubbish,abusive
i am angry,abusive
 sick and tired of,abusive
 fed up with it,abusive
wait and watch,abusive
shame on you,abusive
none of your business,abusive
i am mad right now,abusive
cannot stand it any longer ,abusive
get out of my way,abusive
damn it,abusive
mind your language,abusive
who are you to teach me,abusive
what a nuisance,abusive
annoy,abusive
violence,abusive
hatred,abusive
ill temper,abusive
commissioned,abusive
enmity,abusive
outrage,abusive
boiling,abusive
dumbfounded,abusive
will jump,abusive
do not try,abusive
you will regret,abusive
all because of you,abusive
mark my words,abusive
careless,abusive
 nothing to do,abusive
have no idea who i am,abusive
lost my temper,abusive
shoved,abusive
what the heck,abusive
enough is enough,abusive
who do you think you are,abusive
do this to me,abusive
dare,abusive
not afraid of you,abusive
 you abused me,abusive
 shoot you,abusive
mend yourself,abusive
mind it,abusive
do it if you are bold enough,abusive
be in your limits,abusive
check on your tongue,abusive
ass,abusive
bullshit,abusive
fuck,abusive
shit,abusive
bastard,abusive
dick head,abusive
Piss off,abusive
nerd,abusive
jerk,abusive
fool ,abusive
bugger,abusive
bloody hell,abusive
damn,abusive
stupid,abusive
idiot,abusive
creep,abusive
rubbish,abusive
dumb,abusive
wanker,abusive
shag,abusive
cock,abusive
gay,abusive
you bastard,abusive
go to hell,abusive
fuck you,abusive
motherfucker,abusive
you talking nonsense,abusive
are you stupid,abusive
you jerk,abusive
son of a bitch ,abusive
dumb,abusive
fucking nonsense ,abusive
hate you,abusive
dog,abusive
you fucking bullshit,abusive
you are such a badass,abusive
mad,abusive
robbery,Not_Prank
scared,Not_Prank
come quickly,Not_Prank
kidnap,Not_Prank
help me,Not_Prank
please save me,Not_Prank
difficult,Not_Prank
i am in danger,Not_Prank
tough,Not_Prank
what to do,Not_Prank
tense,Not_Prank
trouble,Not_Prank
fraught,Not_Prank
helpless,Not_Prank
demanding,Not_Prank
stole ,Not_Prank
agitated,Not_Prank
fight,Not_Prank
hard,Not_Prank
weapons,Not_Prank
stretch,Not_Prank
lost,Not_Prank
worried,Not_Prank
blackmail,Not_Prank
unable to relax,Not_Prank
dangerous ,Not_Prank
anxiety,Not_Prank
nervous,Not_Prank
edginess,Not_Prank
made me get,Not_Prank
frustrated,Not_Prank
warning,Not_Prank
unease,Not_Prank
frightened,Not_Prank
anxious,Not_Prank
threatened ,Not_Prank
bad feeling,Not_Prank
 what to do,Not_Prank
discomfort,Not_Prank
restlessness,Not_Prank
nerve racking,Not_Prank
exhaust,Not_Prank
troublesome,Not_Prank
burden,Not_Prank
brutal,Not_Prank
cruel,Not_Prank
stress,Not_Prank
disturbing,Not_Prank
onerous,Not_Prank
tedious,Not_Prank
jittery,Not_Prank
trying,Not_Prank
at breaking point,Not_Prank
problematic,Not_Prank
do something,Not_Prank
trauma,Not_Prank
panic,Not_Prank
molestation,Not_Prank
huge problem,Not_Prank
blame,Not_Prank
bother,Not_Prank
in the mind,Not_Prank
depression,Not_Prank
risk,Not_Prank
i am alone,Not_Prank
bully,Not_Prank
destroy,Not_Prank
dark,Not_Prank
insomnia,Not_Prank
offended,Not_Prank
desperate,Not_Prank
bad time,Not_Prank
grief,Not_Prank
regret,Not_Prank
unhappy,Not_Prank
forget,Not_Prank
culprit ,Not_Prank
snatched,Not_Prank
bite ,Not_Prank
murder,Not_Prank
jump off,Not_Prank
 lost,Not_Prank
chasing me,Not_Prank
afraid o,Not_Prank
staring,Not_Prank
 grabbed,Not_Prank
fretted,Not_Prank
fussed,Not_Prank
alarm,Not_Prank
care,Not_Prank
concern,Not_Prank
freak,Not_Prank
force,Not_Prank
urgent,Not_Prank
weight,Not_Prank
pressure,Not_Prank
worry,Not_Prank
load,Not_Prank
sweat,Not_Prank
identify,Not_Prank
focus,Not_Prank
jitter,Not_Prank
burnout,Not_Prank
mind,Not_Prank
a lot,Not_Prank
too much,Not_Prank
severe,Not_Prank
apart,Not_Prank
break,Not_Prank
effort,Not_Prank
shaken ,Not_Prank
worked,Not_Prank
panic,Not_Prank
fear,Not_Prank
peculiar,Not_Prank
chronic,Not_Prank
sudden,Not_Prank
intense,Not_Prank
major,Not_Prank
prolonged,Not_Prank
grave,Not_Prank
restless,Not_Prank
wild,Not_Prank
eager,Not_Prank
quick,Not_Prank
fierce,Not_Prank
feverish,Not_Prank
certain,Not_Prank
undue,Not_Prank
terrible,Not_Prank
risk,Not_Prank
crisis,Not_Prank
harm,Not_Prank
phobia,Not_Prank
strange,Not_Prank
overwhelmed,Not_Prank
scary,Not_Prank
exhaust,Not_Prank
trap,Not_Prank
slow,Not_Prank
negative,Not_Prank
fail,Not_Prank
avoid,Not_Prank
trigger,Not_Prank
problem,Not_Prank
treatment,Not_Prank
desperate,Not_Prank
turmoil,Not_Prank
cope,Not_Prank
uneasiness,Not_Prank
police,Not_Prank
threat,Not_Prank
bad,Not_Prank
wrong,Not_Prank
nightmare,Not_Prank
death,Not_Prank
shock,Not_Prank
resist,Not_Prank
offer,prank
reward,prank
prize,prank
gift,prank
 won,prank
send code,prank
order,prank
otp,prank
cash,prank
game,prank
play,prank
you  called me,prank
how are you,prank
conduct the test,prank
bonus,prank
won ticket,prank
i am fine,prank
delivery,prank
famous,prank
behalf of,prank
dress,prank
decorate,prank
joke,prank
show off,prank
drunk,prank
brilliant,prank
good,prank
well,prank
nice,prank
great,prank
poll,prank
form,prank
pen,prank
harmless,prank
comic,prank
plan,prank
meet,prank
oops,prank
congratulation,prank
smile,prank
thank you,prank
thanks,prank
welcome,prank
good moring,prank
good afternoon,prank
good night,prank
good evening,prank
pleasant,prank
darling,prank
trick,prank
surprise,prank
happy,prank
fun,prank
pleased,prank
bliss,prank
glad,prank
lovely,prank
yippee,prank
hooray,prank
merry,prank
awesome,prank
incredible,prank
cheer,prank
delight,prank
swag,prank
heaven,prank
boost,prank
success,prank
enjoy,prank
interesting,prank
impressive,prank
wow,prank
splendid,prank
gorgeous,prank
cute,prank
proud,prank
charm,prank
humor,prank
hilarious,prank
admire,prank
affection,prank
elegant,prank
luck,prank
dance,prank
sing,prank
sweet,prank
giddy,prank
love,prank
contest,prank
